TOT_POP,COUNTY_NAME_n,Active General Surgeons per 100000 Population 2018 (AAMC),ICU Beds_x,STATE_NAME_n,anycondition_number,Total Hospitals (2019)
6997.0,736.0,10.5,0.0,48.0,3430.0,0.216981425
68461.0,398.0,7.1,14.0,24.0,27496.0,2.269402618
44582.0,1246.0,7.1,20.0,33.0,18538.0,0.480871218
70422.0,35.0,7.0,0.0,10.0,20697.0,0.97069388
19383.0,285.0,9.6,6.0,20.0,7172.0,0.160383126
5821.0,1329.0,6.2,0.0,36.0,2365.0,0.184532189
47823.0,1164.0,10.2,12.0,32.0,15781.0,0.406229306
35438.0,1670.0,5.8,4.0,44.0,10732.0,0.605374386
79344.0,553.0,6.5,14.0,14.0,26074.0,1.56509249
73055.0,1315.0,7.9,27.0,49.0,22246.0,1.671316995
35285.0,43.0,7.1,5.0,33.0,12800.0,0.38059174
45260.0,682.0,6.9,0.0,47.0,13405.0,0.552567144
48021.0,244.0,7.8,4.0,5.0,17140.0,0.750385563
65936.0,439.0,6.5,30.0,14.0,24215.0,1.300614267
9809.0,493.0,7.3,0.0,46.0,4104.0,0.110553983
39921.0,407.0,7.0,0.0,10.0,13392.0,0.550269381
7114.0,348.0,6.2,0.0,43.0,2867.0,0.129630064
29519.0,488.0,7.4,0.0,23.0,10317.0,0.668115025
81244.0,1120.0,7.3,0.0,46.0,26907.0,0.915674153
1187.0,617.0,6.8,0.0,27.0,427.0,0.057219111
33044.0,1493.0,8.1,3.0,42.0,13915.0,0.561307886
41239.0,143.0,7.0,5.0,3.0,17794.0,1.204128309
37300.0,825.0,10.2,0.0,32.0,13670.0,0.316842379
4989.0,897.0,7.4,0.0,23.0,1868.0,0.11291798
19120.0,242.0,7.0,4.0,10.0,7607.0,0.263549274
15434.0,869.0,7.9,0.0,49.0,6003.0,0.353091595
28294.0,656.0,9.2,3.0,41.0,7945.0,1.828036748
21579.0,51.0,8.1,0.0,42.0,9405.0,0.366555589
14910.0,1188.0,7.3,10.0,46.0,5826.0,0.16804566
19964.0,1661.0,5.8,4.0,44.0,5441.0,0.341037707
29970.0,163.0,7.0,0.0,10.0,10650.0,0.413105217
2920.0,1036.0,9.8,0.0,26.0,847.0,0.153929427
2836.0,1526.0,6.2,0.0,43.0,1139.0,0.051677096
29189.0,1717.0,7.3,0.0,46.0,10236.0,0.328979529
12188.0,44.0,7.0,0.0,25.0,4492.0,0.242707525
12164.0,265.0,7.8,0.0,5.0,3557.0,0.190077049
10913.0,524.0,9.8,0.0,26.0,3441.0,0.575284876
8924.0,50.0,7.0,0.0,3.0,3677.0,0.260569874
10721.0,377.0,7.0,0.0,10.0,4080.0,0.147777812
16272.0,1012.0,7.0,7.0,25.0,6963.0,0.324034857
57900.0,1140.0,7.7,12.0,31.0,20070.0,1.132895046
26575.0,369.0,7.0,10.0,10.0,8970.0,0.36630868
22883.0,1017.0,7.0,0.0,25.0,8830.0,0.455683975
49791.0,1777.0,6.9,6.0,47.0,12751.0,0.607884902
35680.0,437.0,7.0,22.0,10.0,13358.0,0.491811616
8189.0,1023.0,7.0,0.0,25.0,3388.0,0.163072852
4118.0,161.0,7.7,0.0,31.0,1476.0,0.08057447
64569.0,1483.0,8.1,20.0,42.0,26600.0,1.096813003
30816.0,381.0,7.0,0.0,10.0,11421.0,0.424766445
5802.0,665.0,6.8,0.0,16.0,2155.0,0.276996948
40855.0,530.0,7.3,12.0,46.0,18095.0,0.460463142
22663.0,624.0,8.3,0.0,17.0,9420.0,0.53254273
15596.0,117.0,7.0,0.0,13.0,5795.0,0.228901475
47014.0,663.0,6.2,0.0,36.0,18589.0,1.490396211
15249.0,936.0,7.4,0.0,23.0,4900.0,0.345136557
73139.0,357.0,7.1,4.0,33.0,26107.0,0.788893276
4599.0,527.0,7.0,0.0,25.0,1697.0,0.091582861
6422.0,87.0,9.6,0.0,1.0,2302.0,0.182879103
2294.0,222.0,10.5,0.0,34.0,844.0,0.117706496
15146.0,511.0,7.0,0.0,25.0,5454.0,0.301612091
4377.0,978.0,7.1,0.0,24.0,2102.0,0.145092465
11169.0,601.0,6.9,0.0,15.0,3921.0,0.417579674
